Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A716103,,11/14/2015 12:53:00 PM,11/14/2015 12:53:00 PM,9004 Tall Sky Trace in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A693283,Maximus,11/21/2017 01:41:00 PM,11/21/2017 01:41:00 PM,1088 Park Plz in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White
A749608,*Lula,05/17/2017 11:29:00 AM,05/17/2017 11:29:00 AM,7700 Beauregard Cir in Austin (TX),Stray,Normal,Dog,Intact Female,1 day,Labrador Retriever Mix,White/Brown
A673758,,03/01/2014 04:59:00 PM,03/01/2014 04:59:00 PM,1223 Paleface Ranch Road in Austin (TX),Stray,Normal,Cat,Unknown,3 days,Domestic Shorthair Mix,Orange Tabby
A800190,,07/17/2019 02:29:00 PM,07/17/2019 02:29:00 PM,1607 East 7Th Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Tortie
A732872,Luna,08/14/2016 10:41:00 AM,08/14/2016 10:41:00 AM,1012 Arthur Stiles Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Blue
A712130,Lucky,09/08/2019 06:39:00 PM,09/08/2019 06:39:00 PM,3004 Burleson Road in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Bull Terrier Mix,White
A688933,Tedi,10/16/2017 11:33:00 AM,10/16/2017 11:33:00 AM,Riverside And Oltorf in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Rottweiler Mix,Black/Tan
A757359,032,09/01/2017 02:47:00 PM,09/01/2017 02:47:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle
A787100,,01/07/2019 05:35:00 PM,01/07/2019 05:35:00 PM,2706 Rivercrest Dr in Austin (TX),Stray,Sick,Cat,Intact Female,12 years,Domestic Shorthair Mix,Brown Tabby/White
A773535,,06/02/2018 03:23:00 PM,06/02/2018 03:23:00 PM,Unknown in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Gray
A763172,Stanley,12/04/2017 01:24:00 PM,12/04/2017 01:24:00 PM,2009 Wells Branch in Austin (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby
A715885,,11/11/2015 06:46:00 PM,11/11/2015 06:46:00 PM,406 Middle Ln in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Mastiff Mix,Brown Brindle/White
A738228,*Alderson,11/11/2016 01:41:00 PM,11/11/2016 01:41:00 PM,Jacaranda Dr And Tallow Tree Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
A775656,,07/03/2018 11:50:00 AM,07/03/2018 11:50:00 AM,124 West Anderson Lane in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A708523,,07/29/2015 11:05:00 AM,07/29/2015 11:05:00 AM,2200 Willow Creek Dr in Austin (TX),Stray,Normal,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black
A668766,Odin,12/09/2013 10:57:00 AM,12/09/2013 10:57:00 AM,5106 Village Square Dr. in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Newfoundland/Queensland Heeler,Black/White
A731138,,07/17/2016 08:44:00 AM,07/17/2016 08:44:00 AM,501 S Hwy 183 in Austin (TX),Stray,Pregnant,Dog,Intact Male,0 years,Jack Russell Terrier Mix,Tricolor
A706458,*Dartmouth,06/29/2015 11:49:00 AM,06/29/2015 11:49:00 AM,1600 Royal Crest Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby
A808163,*Jadis,11/04/2019 06:27:00 PM,11/04/2019 06:27:00 PM,1205 Citation in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,White/Brown Tabby
A752155,Nova,07/11/2017 11:03:00 AM,07/11/2017 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tan/White
A683779,,07/15/2014 01:03:00 PM,07/15/2014 01:03:00 PM,7409 E Riverside Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
A745179,Tonto,03/14/2017 09:33:00 AM,03/14/2017 09:33:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Labrador Retriever/Pit Bull,White/Tan
A703573,*Suzette,05/27/2015 09:15:00 AM,05/27/2015 09:15:00 AM,8301 Springdale Rd in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A817267,Lulu,05/18/2020 12:03:00 PM,05/18/2020 12:03:00 PM,Austin (TX),Public Assist,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Tortie
